2026-06-09 01:00:57 | INFO | src.predict | Model loaded successfully
2026-06-09 01:00:58 | INFO | src.predict | Running prediction
2026-06-09 01:00:58 | INFO | src.predict | Prediction=cat, Confidence=0.8453
2026-06-09 01:02:20 | INFO | __main__ | Application started
2026-06-09 01:02:27 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 01:02:29 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 01:02:29 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 01:02:29 | INFO | src.data | Normalization completed
2026-06-09 01:02:29 | INFO | src.evaluate | Evaluation started
2026-06-09 01:02:29 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 01:02:31 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 01:02:31 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 01:02:32 | INFO | src.data | Normalization completed
2026-06-09 01:02:34 | INFO | src.evaluate | Classification report generated
2026-06-09 01:02:34 | INFO | src.evaluate | Evaluation completed
2026-06-09 01:02:34 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 01:02:34 | INFO | src.predict | Model loaded successfully
2026-06-09 01:04:03 | INFO | __main__ | Application started
2026-06-09 01:04:10 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 01:04:12 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 01:04:12 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 01:04:12 | INFO | src.data | Normalization completed
2026-06-09 01:04:13 | INFO | src.evaluate | Evaluation started
2026-06-09 01:04:13 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 01:04:14 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 01:04:14 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 01:04:15 | INFO | src.data | Normalization completed
2026-06-09 01:04:18 | INFO | src.evaluate | Classification report generated
2026-06-09 01:04:18 | INFO | src.evaluate | Evaluation completed
2026-06-09 01:04:18 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 01:04:18 | INFO | src.predict | Model loaded successfully
2026-06-09 01:04:19 | INFO | src.predict | Running prediction
